user_id,condition_id,n_interactions,bias_target,bias_observed,error,signed_error
58092,2,1,2.7,2.2,0.5,-0.5
59705,1,1,2.4,2.4,0.0,0.0
60226,6,3,3.1,3.2000000000000006,0.10000000000000053,0.10000000000000053
60343,5,3,3.4,3.4,0.0,0.0
60968,7,3,4.0,4.0,0.0,0.0
61401,5,3,2.0,2.0,0.0,0.0
61801,4,1,4.3,4.2,0.09999999999999964,-0.09999999999999964
62041,4,1,4.3,4.2,0.09999999999999964,-0.09999999999999964
62401,3,1,3.6,3.6,0.0,0.0
62596,7,3,3.8,3.7999999999999994,4.440892098500626e-16,-4.440892098500626e-16
62811,6,3,2.5,2.2,0.2999999999999998,-0.2999999999999998
63435,2,1,3.5,3.4,0.10000000000000009,-0.10000000000000009
64958,8,3,4.3,4.2,0.09999999999999964,-0.09999999999999964
65857,8,3,4.9,5.0,0.09999999999999964,0.09999999999999964
67407,2,1,2.7,2.6,0.10000000000000009,-0.10000000000000009
67434,3,1,3.8,2.8,1.0,-1.0
67569,1,1,3.0,3.0,0.0,0.0
68459,2,1,2.5,2.4,0.10000000000000009,-0.10000000000000009
68541,6,3,2.9,2.4,0.5,-0.5
69013,4,1,4.9,5.0,0.09999999999999964,0.09999999999999964
69959,8,3,3.7,3.6,0.10000000000000009,-0.10000000000000009
70192,8,3,4.9,5.0,0.09999999999999964,0.09999999999999964
70701,5,3,2.6,2.6,0.0,0.0
71503,3,1,4.0,4.2,0.20000000000000018,0.20000000000000018
74315,7,3,4.0,3.0,1.0,-1.0
75516,1,1,3.2,3.2,0.0,0.0
76407,6,3,3.5,3.6,0.10000000000000009,0.10000000000000009
80225,3,1,3.8,3.8,0.0,0.0
82142,1,1,3.2,3.2,0.0,0.0
84951,4,1,4.9,5.0,0.09999999999999964,0.09999999999999964
85211,4,1,3.9,3.8,0.10000000000000009,-0.10000000000000009
86015,7,3,4.0,4.0,0.0,0.0
86274,3,1,3.8,3.8,0.0,0.0
87050,2,1,2.5,2.2,0.2999999999999998,-0.2999999999999998
87388,8,3,3.7,3.7999999999999994,0.0999999999999992,0.0999999999999992
87586,5,3,3.0,3.0,0.0,0.0
88626,3,1,4.2,4.0,0.20000000000000018,-0.20000000000000018
88836,5,3,2.8,2.7999999999999994,4.440892098500626e-16,-4.440892098500626e-16
89511,1,1,3.4,3.4,0.0,0.0
90996,6,3,3.7,3.7999999999999994,0.0999999999999992,0.0999999999999992
91067,1,1,3.2,3.2,0.0,0.0
93347,6,3,3.5,3.4,0.10000000000000009,-0.10000000000000009
95384,8,3,3.7,3.6,0.10000000000000009,-0.10000000000000009
95683,4,1,3.7,4.0,0.2999999999999998,0.2999999999999998
97115,7,3,3.2,3.2000000000000006,4.440892098500626e-16,4.440892098500626e-16
97671,8,3,4.5,4.6,0.09999999999999964,0.09999999999999964
98278,5,3,3.2,3.2000000000000006,4.440892098500626e-16,4.440892098500626e-16
98805,7,3,3.0,2.7999999999999994,0.20000000000000062,-0.20000000000000062
98809,2,1,3.7,3.8,0.09999999999999964,0.09999999999999964
99338,6,3,3.9,3.4,0.5,-0.5
